time,gripper_joint_position,gripper_joint_velocity
1708443399.8450847,0.0,0.0
1708443399.8550217,0.0,0.0
1708443399.8650804,0.0,0.0
1708443399.8751159,0.0,0.0
1708443399.8860145,0.0,0.0
1708443399.896029,0.0,0.0
1708443399.9060836,0.0,0.0
1708443399.9160528,0.0,0.0
1708443399.9258766,0.0,0.0
1708443399.9359488,0.0,0.0
1708443399.9460807,0.0,0.0
1708443399.9559886,0.0,0.0
1708443399.9660301,0.0,0.0
1708443399.9759622,0.0,0.0
1708443399.9858992,0.0,0.0
1708443399.9960473,0.0,0.0
1708443400.0059412,0.0,0.0
1708443400.0159256,0.0,0.0
1708443400.0259492,0.0,0.0
1708443400.0359843,0.0,0.0
1708443400.046085,0.0,0.0
1708443400.0561087,0.0,0.0
1708443400.0649462,0.0,0.0
1708443400.0751488,0.0,0.0
1708443400.0849416,0.0,0.0
1708443400.0951352,0.0,0.0
1708443400.1051497,0.0,0.0
1708443400.1149223,0.0,0.0
1708443400.1249585,0.0,0.0
1708443400.135942,0.0,0.0
1708443400.145855,0.0,0.0
1708443400.1559675,0.0,0.0
1708443400.1660328,0.0,0.0
1708443400.176019,0.0,0.0
1708443400.1860752,0.0,0.0
1708443400.1960714,0.0,0.0
1708443400.205916,0.0,0.0
1708443400.2160003,0.0,0.0
1708443400.2259216,0.0,0.0
1708443400.2361317,0.0,0.0
1708443400.2459211,0.0,0.0
1708443400.2571054,0.0,0.0
1708443400.268066,0.0,0.0
1708443400.2760057,0.0,0.0
1708443400.285912,0.0,0.0
1708443400.296116,0.0,0.0
1708443400.3050323,0.0,0.0
1708443400.3150265,0.0,0.0
1708443400.325024,0.0,0.0
1708443400.3351007,0.0,0.0
1708443400.34503,0.0,0.0
1708443400.3550756,0.0,0.0
1708443400.3649452,0.0,0.0
1708443400.375991,0.0,0.0
1708443400.3859324,0.0,0.0
1708443400.3959696,0.0,0.0
1708443400.4060671,0.0,0.0
1708443400.4159899,0.0,0.0
1708443400.4260669,0.0,0.0
1708443400.4360406,0.0,0.0
1708443400.4460301,0.0,0.0
1708443400.4559984,0.0,0.0
1708443400.4658341,0.0,0.0
1708443400.4760163,0.0,0.0
1708443400.4859498,0.0,0.0
1708443400.4960437,0.0,0.0
1708443400.5060606,0.0,0.0
1708443400.5160923,0.0,0.0
1708443400.5260758,0.0,0.0
1708443400.5351324,0.0,0.0
1708443400.5450726,0.0,0.0
1708443400.5551083,0.0,0.0
1708443400.56506,0.0,0.0
1708443400.5751169,0.0,0.0
1708443400.5849762,0.0,0.0
1708443400.5950577,0.0,0.0
1708443400.6050892,0.0,0.0
1708443400.6160297,0.0,0.0
1708443400.6250834,0.0,0.0
1708443400.6361437,0.0,0.0
1708443400.646057,0.0,0.0
1708443400.6560998,0.0,0.0
1708443400.665987,0.0,0.0
1708443400.6759996,0.0,0.0
1708443400.685917,0.0,0.0
1708443400.696027,0.0,0.0
1708443400.7059095,0.0,0.0
1708443400.7159457,0.0,0.0
1708443400.7260928,0.0,0.0
1708443400.7359798,0.0,0.0
1708443400.7460377,0.0,0.0
1708443400.756094,0.0,0.0
1708443400.7671058,0.0,0.0
1708443400.7760665,0.0,0.0
1708443400.7858622,0.0,0.0
1708443400.7948704,0.0,0.0
1708443400.805068,0.0,0.0
1708443400.8150842,0.0,0.0
1708443400.8249815,0.0,0.0
1708443400.8350775,0.0,0.0
1708443400.8449981,0.0,0.0
1708443400.8551047,0.0,0.0
1708443400.8649664,0.0,0.0
1708443400.8748975,0.0,0.0
1708443400.8860319,0.0,0.0
1708443400.8960402,0.0,0.0
1708443400.906012,0.0,0.0
1708443400.9160998,0.0,0.0
1708443400.9260657,0.0,0.0
1708443400.9360213,0.0,0.0
1708443400.9459746,0.0,0.0
1708443400.9559393,0.0,0.0
1708443400.9660275,0.0,0.0
1708443400.9760888,0.0,0.0
1708443400.9860482,0.0,0.0
1708443400.99607,0.0,0.0
1708443401.0071068,0.0,0.0
1708443401.017948,0.0,0.0
1708443401.0268967,0.0,0.0
1708443401.0361352,0.0,0.0
1708443401.0460002,0.0,0.0
1708443401.056072,0.0,0.0
1708443401.064976,0.0,0.0
1708443401.0749142,0.0,0.0
1708443401.0849507,0.0,0.0
1708443401.0950398,0.0,0.0
1708443401.105022,0.0,0.0
1708443401.115084,0.0,0.0
1708443401.125133,0.0,0.0
1708443401.1360333,0.0,0.0
1708443401.1460476,0.0,0.0
1708443401.1559336,0.0,0.0
1708443401.1660595,0.0,0.0
1708443401.17608,0.0,0.0
1708443401.1859872,0.0,0.0
1708443401.196037,0.0,0.0
1708443401.2060425,0.0,0.0
1708443401.2160528,0.0,0.0
1708443401.2259312,0.0,0.0
1708443401.2360487,0.0,0.0
1708443401.245876,0.0,0.0
1708443401.2559435,0.0,0.0
1708443401.2670083,0.0,0.0
1708443401.2759933,0.0,0.0
1708443401.2859492,0.0,0.0
1708443401.2959528,0.0,0.0
1708443401.3060362,0.0,0.0
1708443401.3149858,0.0,0.0
1708443401.3250222,0.0,0.0
1708443401.335025,0.0,0.0
1708443401.34496,0.0,0.0
1708443401.3550372,0.0,0.0
1708443401.3649035,0.0,0.0
1708443401.3748696,0.0,0.0
1708443401.3849742,0.0,0.0
1708443401.3959334,0.0,0.0
1708443401.4061527,0.0,0.0
1708443401.4159145,0.0,0.0
1708443401.425904,0.0,0.0
1708443401.4360497,0.0,0.0
1708443401.4458897,0.0,0.0
1708443401.4558907,0.0,0.0
1708443401.4658837,0.0,0.0
1708443401.4759448,0.0,0.0
1708443401.4858878,0.0,0.0
1708443401.4958901,0.0,0.0
1708443401.507105,0.0,0.0
