time,gripper_joint_position,gripper_joint_velocity
1708443518.345769,0.0,0.0
1708443518.35569,0.0,0.0
1708443518.3657267,0.0,0.0
1708443518.3756907,0.0,0.0
1708443518.385708,0.0,0.0
1708443518.395726,0.0,0.0
1708443518.4057148,0.0,0.0
1708443518.4169798,0.0,0.0
1708443518.4267452,0.0,0.0
1708443518.4369154,0.0,0.0
1708443518.446868,0.0,0.0
1708443518.4558022,0.0,0.0
1708443518.4647527,0.0,0.0
1708443518.4758418,0.0,0.0
1708443518.4848495,0.0,0.0
1708443518.4947004,0.0,0.0
1708443518.5046513,0.0,0.0
1708443518.5156837,0.0,0.0
1708443518.5257337,0.0,0.0
1708443518.5356991,0.0,0.0
1708443518.545813,0.0,0.0
1708443518.555714,0.0,0.0
1708443518.5656996,0.0,0.0
1708443518.5757174,0.0,0.0
1708443518.585731,0.0,0.0
1708443518.595763,0.0,0.0
1708443518.6057303,0.0,0.0
1708443518.615738,0.0,0.0
1708443518.6257305,0.0,0.0
1708443518.6359344,0.0,0.0
1708443518.6458483,0.0,0.0
1708443518.655878,0.0,0.0
1708443518.6658494,0.0,0.0
1708443518.6756883,0.0,0.0
1708443518.6868536,0.0,0.0
1708443518.6958914,0.0,0.0
1708443518.7058127,0.0,0.0
1708443518.7158039,0.0,0.0
1708443518.7248259,0.0,0.0
1708443518.7347414,0.0,0.0
1708443518.7447402,0.0,0.0
1708443518.7547545,0.0,0.0
1708443518.7657673,0.0,0.0
1708443518.7758482,0.0,0.0
1708443518.7857978,0.0,0.0
1708443518.79581,0.0,0.0
1708443518.805715,0.0,0.0
1708443518.8157315,0.0,0.0
1708443518.8257236,0.0,0.0
1708443518.8359182,0.0,0.0
1708443518.8458028,0.0,0.0
1708443518.8556993,0.0,0.0
1708443518.8657262,0.0,0.0
1708443518.8756807,0.0,0.0
1708443518.8857172,0.0,0.0
1708443518.8958032,0.0,0.0
1708443518.9067307,0.0,0.0
1708443518.914848,0.0,0.0
1708443518.9257593,0.0,0.0
1708443518.9357488,0.0,0.0
1708443518.944899,0.0,0.0
1708443518.954697,0.0,0.0
1708443518.964856,0.0,0.0
1708443518.9748535,0.0,0.0
1708443518.9857314,0.0,0.0
1708443518.9959486,0.0,0.0
1708443519.00589,0.0,0.0
1708443519.0157642,0.0,0.0
1708443519.0258634,0.0,0.0
1708443519.0358486,0.0,0.0
1708443519.0458398,0.0,0.0
1708443519.0558515,0.0,0.0
1708443519.0658016,0.0,0.0
1708443519.0757065,0.0,0.0
1708443519.0857697,0.0,0.0
1708443519.0958354,0.0,0.0
1708443519.1068547,0.0,0.0
1708443519.1158469,0.0,0.0
1708443519.1267302,0.0,0.0
1708443519.1358223,0.0,0.0
1708443519.1458273,0.0,0.0
1708443519.155822,0.0,0.0
1708443519.1649423,0.0,0.0
1708443519.174873,0.0,0.0
1708443519.1848335,0.0,0.0
1708443519.1959846,0.0,0.0
1708443519.205873,0.0,0.0
1708443519.2156942,0.0,0.0
1708443519.2258635,0.0,0.0
1708443519.2359636,0.0,0.0
1708443519.2457979,0.0,0.0
1708443519.2558868,0.0,0.0
1708443519.2658594,0.0,0.0
1708443519.2757378,0.0,0.0
1708443519.2857437,0.0,0.0
1708443519.296041,0.0,0.0
1708443519.305748,0.0,0.0
1708443519.31574,0.0,0.0
1708443519.3257446,0.0,0.0
1708443519.335712,0.0,0.0
1708443519.3467057,0.0,0.0
1708443519.3547168,0.0,0.0
1708443519.36474,0.0,0.0
1708443519.374709,0.0,0.0
1708443519.384829,0.0,0.0
1708443519.394868,0.0,0.0
1708443519.4058063,0.0,0.0
1708443519.4158256,0.0,0.0
1708443519.425861,0.0,0.0
1708443519.4358149,0.0,0.0
1708443519.4458754,0.0,0.0
1708443519.4558659,0.0,0.0
1708443519.46582,0.0,0.0
1708443519.4758544,0.0,0.0
1708443519.485786,0.0,0.0
1708443519.495771,0.0,0.0
1708443519.5057523,0.0,0.0
1708443519.515733,0.0,0.0
1708443519.5257232,0.0,0.0
1708443519.5357506,0.0,0.0
1708443519.5457823,0.0,0.0
1708443519.5557828,0.0,0.0
1708443519.5657132,0.0,0.0
1708443519.5747032,0.0,0.0
1708443519.5858438,0.0,0.0
1708443519.5947206,0.0,0.0
1708443519.604884,0.0,0.0
1708443519.614853,0.0,0.0
1708443519.624854,0.0,0.0
1708443519.6359076,0.0,0.0
1708443519.6458693,0.0,0.0
1708443519.655848,0.0,0.0
1708443519.6658378,0.0,0.0
1708443519.6758277,0.0,0.0
1708443519.6857615,0.0,0.0
1708443519.6956918,0.0,0.0
1708443519.705767,0.0,0.0
1708443519.7158685,0.0,0.0
1708443519.725724,0.0,0.0
1708443519.7357278,0.0,0.0
1708443519.7456782,0.0,0.0
1708443519.755731,0.0,0.0
1708443519.7657208,0.0,0.0
1708443519.7756705,0.0,0.0
1708443519.7857623,0.0,0.0
1708443519.7957568,0.0,0.0
1708443519.8058603,0.0,0.0
1708443519.815738,0.0,0.0
1708443519.824708,0.0,0.0
1708443519.8347359,0.0,0.0
1708443519.8447495,0.0,0.0
1708443519.8547473,0.0,0.0
1708443519.86475,0.0,0.0
1708443519.8757489,0.0,0.0
1708443519.8862908,0.0,0.0
1708443519.8956978,0.0,0.0
1708443519.9057548,0.0,0.0
1708443519.9159288,0.0,0.0
1708443519.9257267,0.0,0.0
1708443519.935766,0.0,0.0
1708443519.9459133,0.0,0.0
1708443519.9558616,0.0,0.0
1708443519.9658563,0.0,0.0
1708443519.9758785,0.0,0.0
1708443519.9858346,0.0,0.0
1708443519.9958956,0.0,0.0
1708443520.0067663,0.0,0.0
1708443520.016897,0.0,0.0
1708443520.0257266,0.0,0.0
1708443520.035722,0.0,0.0
1708443520.044883,0.0,0.0
1708443520.054711,0.0,0.0
1708443520.0647051,0.0,0.0
1708443520.0747604,0.0,0.0
1708443520.0857925,0.0,0.0
1708443520.0956717,0.0,0.0
1708443520.1057746,0.0,0.0
1708443520.115726,0.0,0.0
1708443520.1257186,0.0,0.0
1708443520.1357627,0.0,0.0
1708443520.145893,0.0,0.0
1708443520.1558394,0.0,0.0
1708443520.1658814,0.0,0.0
1708443520.1757288,0.0,0.0
1708443520.185729,0.0,0.0
1708443520.1957598,0.0,0.0
1708443520.2067406,0.0,0.0
1708443520.215688,0.0,0.0
1708443520.22591,0.0,0.0
1708443520.235827,0.0,0.0
1708443520.244727,0.0,0.0
1708443520.254683,0.0,0.0
1708443520.2647114,0.0,0.0
1708443520.2747047,0.0,0.0
1708443520.2856746,0.0,0.0
