time,x,y,z
0.0,0.4910583351353752,0.02707673257485839,0.5605033916245085
0.0,0.49107392789475574,0.0271027960372597,0.5605000405186332
0.0,0.4910909793765398,0.027132801805500945,0.5604999551266446
0.0,0.4911071617489884,0.027157478097942327,0.5605022607069567
0.0,0.49112217927218454,0.02718223167380599,0.560507849676669
0.0,0.4911358614240757,0.027209639756932816,0.560508444741242
0.0,0.4911517994574652,0.027230460790901065,0.5605117269564162
0.0,0.4911672506637851,0.02725545149029618,0.5605163397236553
0.0,0.4911837722036615,0.027279315754407542,0.560524809841627
0.0,0.49119796256495885,0.027298787719882416,0.5605320395162954
0.0,0.49121355410571815,0.027318531794802373,0.5605428884454623
0.0,0.4912267271103929,0.02733959523464131,0.5605529458967068
0.0,0.4912424985359556,0.02735977670626339,0.5605641994169897
0.0,0.4912559083162582,0.02738034342472616,0.5605737294433382
0.0,0.49127127359065215,0.027397065222740734,0.5605931105714129
0.0,0.4912869578611371,0.027415629630987676,0.5606040471052388
0.0,0.4913013194767585,0.02743292416501022,0.5606187943082634
0.0,0.4913159645493776,0.027449416907965003,0.5606330696626171
0.0,0.491330144737549,0.027466394785067766,0.5606557699793387
0.0,0.4913445547902895,0.02747873909494992,0.5606710006279221
0.0,0.49135884250942186,0.027498477529523,0.5606924151570493
0.0,0.4913716473268787,0.0275105791696233,0.560711939222559
0.0,0.49138413049553575,0.02752448639575556,0.5607311071638201
0.0,0.4913973191534472,0.027535038544876555,0.5607558996302124
0.0,0.4914101289647008,0.027548475807015464,0.5607812263006916
0.0,0.4914228876841229,0.02756157961597946,0.5607999103171082
0.0,0.49143577582653836,0.02757463672925994,0.5608318949946238
0.0,0.49144867861270736,0.027586086759663744,0.5608571800159804
0.0,0.49146098219120493,0.027595648455292963,0.5608848111212346
0.0,0.4914746545837183,0.027607048630523316,0.5609153368130382
0.0,0.49148501879468637,0.027617822786585724,0.5609403476150131
0.0,0.4914963874584527,0.027629372073073286,0.5609757663767208
0.0,0.4915095514943728,0.027636347256324058,0.5610011257193391
0.0,0.49152191727915684,0.027646261614797257,0.5610354808526673
0.0,0.49153477180263916,0.02765159294048538,0.5610684575993421
0.0,0.49154445645273126,0.027659585213258217,0.5611012256823132
0.0,0.4915563942726221,0.027668644499854102,0.5611365438417879
0.0,0.49156696076467504,0.027674357819326686,0.5611745033924405
0.0,0.49157783882848716,0.027682183839141478,0.561211413350238
0.0,0.4915890078615056,0.027684685252636607,0.5612492109113827
