9306,13498
17012,21127
24728,29086
32547,36414
39810,44285
48203,52946
56603,61069
65287,69627
73082,77582
81200,86343
89273,93559
97513,102514
105865,110420
114387,119610
123323,127572
131331,135898
139511,144623
147917,152558
156043,160831
164436,169326
172897,177801
181040,186126
189257,193690
196586,201361
204688,209068
212331,217082
220649,226170
229562,233933
237473,243811
247584,251709
255222,260012
263231,268470
271817,275307
278739,282729
286138,290694
294268,298693
302530,306537
