time,elbow_joint,shoulder_lift_joint,shoulder_pan_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint
1708440804.1755881,-1.1137759685516357,-1.677035471002096,-2.5275235811816614,2.2901391226002197,-1.0188267866717737,0.45997166633605957
1708440804.1775105,-1.1136183738708496,-1.677075525323385,-2.527487341557638,2.2900401788898925,-1.018757168446676,0.4600553512573242
1708440804.1795006,-1.1135388612747192,-1.677110334435934,-2.527442518864767,2.2899607855030517,-1.0187419096576136,0.4601552188396454
1708440804.181484,-1.1134312152862549,-1.6772438488402308,-2.527397696171896,2.2898360925861816,-1.0187342802630823,0.4601944088935852
1708440804.183472,-1.1133228540420532,-1.677225729028219,-2.527414147053854,2.2897397714802246,-1.0187180677997034,0.4603119492530823
1708440804.1854904,-1.113239049911499,-1.6773020229735316,-2.5274351278888147,2.2896570402332763,-1.0186851660357874,0.46030193567276
1708440804.1874804,-1.113069772720337,-1.6773940525450648,-2.5274065176593226,2.289539023036621,-1.0186980406390589,0.46044233441352844
1708440804.1894996,-1.1130445003509521,-1.6773973904051722,-2.5274036566363733,2.2894982534595947,-1.0186827818499964,0.46047401428222656
1708440804.1915452,-1.1129108667373657,-1.677478929559225,-2.527445618306295,2.2893079954334716,-1.0186579863177698,0.46054235100746155
1708440804.193502,-1.11281418800354,-1.677554269830221,-2.5273869673358362,2.2892166811176757,-1.0186222235309046,0.46059370040893555
1708440804.1955051,-1.1127482652664185,-1.6775995693602503,-2.527384106312887,2.289076014156006,-1.0186060110675257,0.46065643429756165
1708440804.1974912,-1.112676978111267,-1.6776253185667933,-2.527350966130392,2.289029045695923,-1.0185816923724573,0.4607619345188141
1708440804.1995068,-1.1125596761703491,-1.6776682339110316,-2.5273223559008997,2.288912220592163,-1.0185945669757288,0.460804283618927
1708440804.2015176,-1.1124145984649658,-1.6777826748290003,-2.5273526350604456,2.288808985347412,-1.0185664335833948,0.46081945300102234
1708440804.2034981,-1.1123063564300537,-1.677781721154684,-2.5273149649249476,2.2887133794971923,-1.0185664335833948,0.46091964840888977
1708440804.2055056,-1.1122760772705078,-1.6778127155699671,-2.5273359457599085,2.288623257274292,-1.0185588041888636,0.46093910932540894
1708440804.2075114,-1.1121670007705688,-1.6778274975218714,-2.5273104349719446,2.288505955333374,-1.0184906164752405,0.46098703145980835
1708440804.209557,-1.112146019935608,-1.6779381237425746,-2.5273075739489954,2.2883967596241455,-1.0184906164752405,0.46105122566223145
1708440804.2114775,-1.1120034456253052,-1.6780058346190394,-2.5272658506976526,2.2882959085651855,-1.018486801777975,0.4611567258834839
1708440804.2134907,-1.111923336982727,-1.6780129871764125,-2.5272792021380823,2.2881764608570556,-1.018470589314596,0.4611663222312927
1708440804.2154994,-1.1118690967559814,-1.6781050167479457,-2.5272627512561243,2.2881459432789306,-1.0184553305255335,0.4612424373626709
1708440804.2175019,-1.111751914024353,-1.6781531773009242,-2.527254883443014,2.288083477611206,-1.0184553305255335,0.46129438281059265
1708440804.2195146,-1.1117126941680908,-1.6781770191588343,-2.527288262044088,2.2879366117664794,-1.0184100309955042,0.4613458812236786
1708440804.2214885,-1.111612319946289,-1.678220888177389,-2.527238432561056,2.2878450590321044,-1.0184314886676233,0.4614677429199219
1708440804.2235053,-1.111564040184021,-1.678267618218893,-2.527247492467062,2.2878123956867675,-1.018423859273092,0.461503803730011
1708440804.22548,-1.1114718914031982,-1.6782733402647914,-2.52722937265505,2.287727041835449,-1.018362824116842,0.4615382254123688
1708440804.2274725,-1.111417531967163,-1.6784259281554164,-2.5272355715381067,2.2876476484486084,-1.0183876196490687,0.46154895424842834
1708440804.22949,-1.1113433837890625,-1.6784521541991175,-2.527181927357809,2.2875303465076904,-1.0183833281146448,0.46166640520095825
1708440804.2314758,-1.1112284660339355,-1.6784879169859828,-2.527165238057272,2.287493868465088,-1.018306080495016,0.4616968631744385
1708440804.2334812,-1.1112174987792969,-1.6784965000548304,-2.527214590703146,2.287395401591919,-1.0182707945453089,0.46169596910476685
1708440804.2354872,-1.1111698150634766,-1.6785437069334925,-2.5271998087512415,2.2873052793690185,-1.0182707945453089,0.46177300810813904
1708440804.2374787,-1.1110531091690063,-1.6785756550230921,-2.5271576086627405,2.2872094351002197,-1.0182750860797327,0.46182969212532043
1708440804.2394893,-1.110979676246643,-1.6786471805968226,-2.5272088686572474,2.28719608365979,-1.0182302633868616,0.46186137199401855
1708440804.2414794,-1.1109284162521362,-1.6786962948241175,-2.5271454493152063,2.2871286112019042,-1.0182464758502405,0.46194157004356384
1708440804.243483,-1.1108564138412476,-1.6786953411498011,-2.5271831194507044,2.287054939860962,-1.0182507673846644,0.46192750334739685
1708440804.2454681,-1.1107845306396484,-1.6787315807738246,-2.527163569127218,2.286980076427124,-1.0182150045977991,0.4619807004928589
1708440804.2474751,-1.1107243299484253,-1.678784032861227,-2.527100388203756,2.2868997293659667,-1.0182107130633753,0.4620862305164337
1708440804.2494886,-1.1106477975845337,-1.6788107357420863,-2.527118508015768,2.2868479925343017,-1.018203083668844,0.46206438541412354
1708440804.2514842,-1.1105676889419556,-1.6788517437376917,-2.527126137410299,2.286766930217407,-1.018191162739889,0.46209606528282166
1708440804.2534857,-1.1105655431747437,-1.6788631878294886,-2.527159039174215,2.2867538171955566,-1.0181506315814417,0.46213939785957336
1708440804.2554839,-1.1104806661605835,-1.6788903675475062,-2.527156178151266,2.286644383067749,-1.0181954542743128,0.46221667528152466
1708440804.2574668,-1.1104369163513184,-1.6789142094054164,-2.527135197316305,2.2865308958240966,-1.0181754271136683,0.46227332949638367
1708440804.2594829,-1.1103508472442627,-1.6789590320982875,-2.5270944277392786,2.286475105876587,-1.0181430021869105,0.4622601866722107
1708440804.2614815,-1.1103211641311646,-1.6790367565550746,-2.5270989576922815,2.2864484029957275,-1.0181635061847132,0.46225905418395996
1708440804.2634976,-1.1102938652038574,-1.6790114841856898,-2.5270870367633265,2.286407395000122,-1.0181353727923792,0.46232759952545166
1708440804.2655363,-1.1101964712142944,-1.6790758572020472,-2.5271034876452845,2.2863525587269287,-1.0181234518634241,0.4623633623123169
1708440804.26749,-1.110169768333435,-1.6790830097594203,-2.5271034876452845,2.286271496410034,-1.018094841633932,0.4624157249927521
1708440804.2695036,-1.1100932359695435,-1.679061075250143,-2.5270631949054163,2.2862276273914794,-1.0180991331683558,0.462434321641922
1708440804.2714891,-1.1100456714630127,-1.6791116199889125,-2.5270841757403772,2.286198063487671,-1.0181077162372034,0.4624994099140167
1708440804.2735043,-1.1099884510040283,-1.6791182957091273,-2.5270677248584192,2.286066694850586,-1.0180991331683558,0.46253541111946106
1708440804.2755141,-1.109945297241211,-1.6791702709593714,-2.527039353047506,2.2860311704822998,-1.0180962721454065,0.4625917971134186
1708440804.2774816,-1.1099506616592407,-1.6791984043517054,-2.527052942906515,2.2860163885303955,-1.0180709997760218,0.4625830352306366
1708440804.2794938,-1.109857201576233,-1.6792270145811976,-2.526994053517477,2.285958929652832,-1.0180547873126429,0.4625972509384155
