time,elbow_joint,shoulder_lift_joint,shoulder_pan_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint
1708436163.66848,-2.1420140266418457,-1.333638609652855,-2.526961151753561,6.11115192154006,1.0178751945495605,-2.785125795994894
1708436163.6704893,-2.1420185565948486,-1.3336430352977295,-2.526886049901144,6.111119138985433,1.0178381204605103,-2.7851620356189173
1708436163.672522,-2.142043352127075,-1.333601177935936,-2.526928249989645,6.111119138985433,1.017924189567566,-2.7851420084582728
1708436163.6744823,-2.1419644355773926,-1.3336519759944458,-2.526956621800558,6.111143219261923,1.0178874731063843,-2.785133186970846
1708436163.6765356,-2.1419837474823,-1.3336757284453888,-2.526881519948141,6.111168134003439,1.0178874731063843,-2.7851584593402308
1708436163.6785262,-2.141984701156616,-1.333644376402237,-2.526928249989645,6.1111440537269495,1.017906904220581,-2.785116736088888
1708436163.6804893,-2.1420388221740723,-1.3336266887239,-2.526886049901144,6.111131059914388,1.0178459882736206,-2.785145107899801
1708436163.6825519,-2.1419804096221924,-1.333684654240944,-2.526935640965597,6.111086952477255,1.0179036855697632,-2.7851784865008753
1708436163.6845796,-2.1420342922210693,-1.3336683225682755,-2.526935640965597,6.111206161766805,1.017878770828247,-2.78516656557192
1708436163.6865401,-2.14200496673584,-1.3335776639035721,-2.526898209248678,6.111185538559713,1.0178009271621704,-2.785109345112936
1708436163.6885087,-2.142042398452759,-1.3336474609426041,-2.526919190083639,6.111091363220968,1.0178874731063843,-2.785116736088888
1708436163.690499,-2.1420061588287354,-1.3336189550212403,-2.526919190083639,6.11111472824172,1.017936110496521,-2.785149637852804
1708436163.6925108,-2.1420016288757324,-1.3336222630790253,-2.526919190083639,6.1111769554908655,1.0178709030151367,-2.7851739565478724
1708436163.6944857,-2.1419599056243896,-1.3336099994233628,-2.5269177595721644,6.111099946289816,1.0178709030151367,-2.785119597111837
1708436163.6965063,-2.1420140266418457,-1.3336252582124253,-2.526919190083639,6.111163842469015,1.0178579092025757,-2.785153929387228
1708436163.6985004,-2.1419970989227295,-1.3335895848325272,-2.526919190083639,6.111181247025289,1.0178337097167969,-2.785104815159933
1708436163.7005095,-2.1420300006866455,-1.3336144399693985,-2.526919190083639,6.111156332283773,1.017878770828247,-2.785133186970846
1708436163.702512,-2.1419644355773926,-1.3336072725108643,-2.526926581059591,6.111193167954244,1.0178906917572021,-2.785136047993795
1708436163.7044935,-2.1419644355773926,-1.333656297331192,-2.5268893877612513,6.111168134003439,1.0178874731063843,-2.7851620356189173
1708436163.7065108,-2.1420388221740723,-1.3336296838572999,-2.526923720036642,6.111180054932394,1.0178709030151367,-2.7851033846484583
1708436163.7084954,-2.1419804096221924,-1.3336144399693985,-2.526910130177633,6.111156332283773,1.0178579092025757,-2.785112444554464
1708436163.7104945,-2.1420061588287354,-1.3336668771556397,-2.526926581059591,6.111143219261923,1.0179111957550049,-2.785170857106344
1708436163.7125142,-2.1420016288757324,-1.3335940104774018,-2.526902739201681,6.111180054932394,1.0179036855697632,-2.78512412706484
1708436163.7144778,-2.1419928073883057,-1.3336341840079804,-2.526926581059591,6.111159550934591,1.0179036855697632,-2.785149637852804
1708436163.7164967,-2.141984701156616,-1.3336519759944458,-2.526902739201681,6.111131059914388,1.017878770828247,-2.7851784865008753
1708436163.7184684,-2.1419970989227295,-1.333602936272957,-2.526886049901144,6.111135351448812,1.0179111957550049,-2.785170857106344
1708436163.72052,-2.141993761062622,-1.3335865896991272,-2.526935640965597,6.111201035767355,1.0179154872894287,-2.785116736088888
1708436163.722539,-2.1420273780822754,-1.3336474311402817,-2.526964251195089,6.111138808518209,1.0179154872894287,-2.7851315180407923
1708436163.724486,-2.141989231109619,-1.3336385947516938,-2.526919190083639,6.111217248230734,1.0179154872894287,-2.7851153055774134
1708436163.7265217,-2.1420254707336426,-1.333605558877327,-2.5268848578082483,6.111119138985433,1.0178580284118652,-2.785133186970846
1708436163.7284834,-2.1419970989227295,-1.3336189550212403,-2.526923720036642,6.111131059914388,1.0178992748260498,-2.785133186970846
1708436163.7305245,-2.1419711112976074,-1.3336189699224015,-2.526968781148092,6.111139762192526,1.017919898033142,-2.785133186970846
1708436163.7324767,-2.1420514583587646,-1.3336311143687745,-2.526898209248678,6.111150729447164,1.017894983291626,-2.7851575056659144
1708436163.7345142,-2.1420342922210693,-1.333610014324524,-2.526961151753561,6.111135351448812,1.017919898033142,-2.785145107899801
1708436163.7365313,-2.1420061588287354,-1.3336144399693985,-2.526919190083639,6.111201035767355,1.0178906917572021,-2.78516656557192
1708436163.7384946,-2.1420185565948486,-1.3336310994676133,-2.526890579854147,6.111122238426962,1.0178992748260498,-2.785095993672506
1708436163.7405508,-2.1419970989227295,-1.3336311143687745,-2.526928249989645,6.1111769554908655,1.017906904220581,-2.785112444554464
