time,elbow_joint,shoulder_lift_joint,shoulder_pan_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint
1708438109.3330946,-1.1055034399032593,-1.681678911248678,-2.5266431013690394,2.281201048488281,-1.017280403767721,0.1894749104976654
1708438109.3351266,-1.1054823398590088,-1.681643625298971,-2.5266268889056605,2.281155748958252,-1.017297093068258,0.18940916657447815
1708438109.3371153,-1.1055331230163574,-1.6816207371153773,-2.526628080998556,2.281201048488281,-1.0173223654376429,0.1894674301147461
1708438109.339102,-1.105532169342041,-1.6817146740355433,-2.526628080998556,2.2811924654194335,-1.0172713438617151,0.1894749104976654
1708438109.3410633,-1.105528712272644,-1.6816851101317347,-2.5265820662127894,2.2811848360249023,-1.017268482838766,0.18951237201690674
1708438109.3430786,-1.1054331064224243,-1.6816727123656214,-2.5266311804400843,2.281221552486084,-1.017306152974264,0.18943895399570465
1708438109.3450549,-1.105532169342041,-1.681652685204977,-2.526602808629171,2.28121726095166,-1.017297093068258,0.1894615739583969
1708438109.3470519,-1.1055576801300049,-1.6816407642760218,-2.5266476313220423,2.28113500654187,-1.0172637144671839,0.18949271738529205
1708438109.349062,-1.1055151224136353,-1.681681295434469,-2.526647392903463,2.2811762529560546,-1.0172770659076136,0.1895001083612442
1708438109.351136,-1.1055232286453247,-1.6816331348814906,-2.526623789464132,2.2812086778828125,-1.0172608534442347,0.18954503536224365
1708438109.353099,-1.1054987907409668,-1.6816450558104457,-2.5266643206225794,2.2811481195637207,-1.0172889868365687,0.1895001232624054
1708438109.3550491,-1.1055078506469727,-1.681615491906637,-2.526619259511129,2.281171961421631,-1.0172446409808558,0.18950465321540833
1708438109.3570914,-1.105548620223999,-1.6816612682738246,-2.526619259511129,2.2811967569538574,-1.0172770659076136,0.18951678276062012
1708438109.3591006,-1.1054869890213013,-1.681619783441061,-2.5265942255603235,2.2812129694172363,-1.0172770659076136,0.1895001232624054
1708438109.3611062,-1.1055151224136353,-1.6816655598082484,-2.526656452809469,2.2812298971363525,-1.0172904173480433,0.18951237201690674
1708438109.3631558,-1.1054959297180176,-1.681652685204977,-2.5266640822040003,2.281221552486084,-1.0172742048846644,0.18948672711849213
